ID,Account_Number_of_Vendor_or_Creditor
4210140581_10,0
4210140551_310,0
4210140602_10,0
4210140551_300,0
4210140551_260,0
4210140551_250,0
4210140551_240,0
4210140551_220,0
4210140551_200,0
4210140571_10,0
4210140551_270,0
4210140567_30,0
4210140599_50,0
4210140599_60,0
4210139170_30,0
4210139170_20,0
4210140569_10,0
4500171163_260,0
4210140592_10,0
4210140600_10,0
4210140600_20,0
6000037635_10,0
6000037635_20,0
6000037635_30,0
6000037635_50,0
6000037635_40,0
4210140599_30,0
4210140599_20,0
4210140599_10,0
4210139170_10,0
4500170401_10,0
4210140587_20,0
4500171163_250,0
4220039806_140,0
4220039806_20,0
4220039806_10,0
6000037633_10,0
4210139950_20,0
4220039806_30,0
4500171183_1,0
4220039781_20,0
4220039781_10,0
4500171163_10,0
4210140563_30,0
4210139582_30,0
4210140563_110,0
4210139582_20,0
4210140582_10,0
4220039806_130,0
4220039806_90,0
4220039806_80,0
4210140567_10,0
4220039806_50,0
4220039806_100,0
4220039806_110,0
4220039806_120,0
4220039806_150,0
4220039806_170,0
4210140563_90,0
4500171163_40,0
4220039806_60,0
4210140563_60,0
4220039806_160,0
4210140563_20,0
4210140563_120,0
4210140563_80,0
4210140563_100,0
4220039806_40,0
4220039806_70,0
4500170400_10,0
4210140596_10,0
4210140563_10,0
4220038852_170,0
4500171163_230,0
4210140593_10,0
4210140583_10,0
4220039063_20,0
4500171165_10,0
4210140594_10,0
4210140594_20,0
4210140554_10,0
4300012729_10,0
4500171163_240,0
4210140589_10,0
4210140587_10,0
4210140571_20,0
4210140113_10,0
4220038852_180,0
4210140562_20,0
4210140562_10,0
4500171163_180,0
4210140578_10,0
4210140475_10,0
4210140601_10,0
4210140552_10,0
4500171163_50,0
4500171163_60,0
4210140552_20,0
4220039796_40,0
4220039800_10,0
4230002810_10,0
4500171163_70,0
4500171163_100,0
4210139582_10,0
4210140562_30,0
4210140597_10,0
4500171163_140,0
4210140566_20,0
4210140571_40,0
4210140599_40,0
4210140551_190,0
4210140604_60,0
4210140604_80,0
4210140549_30,0
4210140604_50,0
4210140548_40,0
4210140604_40,0
4210140548_50,0
4210140548_30,0
4500171168_10,0
4500171169_20,0
4500171169_10,0
4210140584_10,0
4300012786_10,0
4500171181_1,0
4500171179_1,0
4210140571_30,0
6000037634_10,0
4400010080_10,0
4210140549_10,0
4210140591_10,0
4210140591_30,0
4210140591_20,0
4500171136_10,0
4210140568_10,0
4500171173_1,0
4300013056_10,0
4300013057_10,0
4300013058_10,0
4210140576_20,0
4210140576_10,0
4210140604_10,0
4210140604_30,0
4210140604_20,0
4210140604_70,0
4210140549_20,0
4220039798_10,0
6000037634_20,0
4210140548_20,0
4220039803_10,0
4210140605_50,0
4210140605_10,0
4210140605_30,0
4210140605_20,0
4400010128_10,0
4210140605_40,0
4210140555_10,0
4400010198_10,0
4210137451_10,0
4210137451_70,0
4210137451_20,0
4210140561_20,0
4210140561_10,0
4210140560_10,0
4210140579_20,0
6000037634_30,0
4210140579_10,0
6000037636_40,0
4210140548_10,0
4210140574_10,0
4500171180_1,0
4210140577_20,0
4210140577_10,0
4500166398_10,0
4500166401_10,0
4500170260_10,0
4500165887_10,0
4500171182_1,0
4220039804_10,0
6000037636_10,0
6000037636_20,0
6000037636_30,0
4500171172_1,0
6000037636_50,0
4220039724_10,0
4400010108_10,0
4210140567_20,0
4500171170_10,0
6000037637_20,0
4210140551_20,0
6000037637_10,0
4220036604_40,0
4210140551_290,0
4210140551_70,0
4220036604_30,0
4210140603_20,0
4210140551_280,0
4210140603_10,0
4210140550_10,0
6000037637_30,0
4210140550_20,0
4210140551_40,0
4210140551_210,0
4210140551_80,0
4210140551_160,0
4210140551_150,0
4210140551_140,0
4210140551_90,0
4210140551_100,0
4210140551_110,0
4210140551_230,0
4210140551_10,0
4210140551_60,0
4210140551_130,0
6000037637_40,0
4210140551_120,0
4300012616_10,0
4210140551_180,0
4210140551_170,0
4210140551_50,0
4210140551_30,0
4500171184_30,0
4500170275_250,0
4500169760_10,0
4500171184_50,0
4500171184_40,0
4500171184_10,0
4500170275_200,0
4500171184_20,0
4500170275_30,0
4500171204_20,0
4500171201_10,0
4500171204_10,0
4500171185_10,0
4500170275_20,0
4500170057_10,0
4500170275_90,0
4500170494_10,0
4500170275_170,0
4500170275_240,0
4500170275_130,0
4500170275_330,0
4500170275_320,0
4800002770_10,0
4800002771_10,0
4800002773_10,0
4800002774_10,0
4500170275_310,0
4800002775_10,0
4500170275_290,0
4800002776_10,0
4500170275_220,0
4500171199_10,0
4500171205_1,0
4500170275_270,0
4500170275_230,0
4500170275_100,0
4500170275_140,0
4500170275_50,0
4500171197_1,0
4500170275_10,0
4500171194_10,0
4500171188_10,0
4500170275_300,0
4500170275_180,0
4500170814_10,0
4500170275_110,0
4500170515_10,0
4500170275_150,0
4500170275_190,0
4500171203_40,0
4500170275_40,0
4500170275_80,0
4500171203_10,0
4500171203_30,0
4500170275_260,0
4500171193_1,0
4500170275_280,0
4500170275_120,0
4500170672_10,0
4500171192_1,0
4500170275_210,0
4500170275_160,0
4500170492_10,0
4000006674_10,0
4500170275_70,0
4500171203_20,0
4500170275_60,0
4500171206_10,0
4500171209_10,0
4500171221_10,0
4500171219_10,0
4500171218_1,0
4500171191_10,0
4500171214_10,0
4500171217_10,0
4500171220_10,0
4500171207_10,0
4500171295_1,0
4500171304_1,0
4500171310_1,0
4500171307_1,0
4500171253_10,0
4500171284_1,0
4500171286_1,0
4500171293_1,0
4500171296_1,0
4500171298_1,0
4500171285_1,0
4210140624_10,0
4500171312_1,0
4500171321_1,0
4300013062_10,0
4300013063_10,0
4500171313_1,0
4300013064_10,0
4500171302_1,0
4500171318_1,0
4500171276_10,0
4500171275_10,0
4300013061_10,0
4500171266_10,0
4500171329_1,0
4500171315_1,0
4300013060_10,0
4300013059_10,0
4500171258_1,0
4500171300_1,0
4300013065_10,0
4220037192_20,0
4210140614_10,0
4210140625_10,0
4500171291_1,0
4500171311_1,0
4300013066_10,0
4500171290_1,0
4500171292_1,0
4500171301_1,0
4210140572_20,0
4500171308_1,0
4500171294_1,0
4500171277_1,0
4500171306_1,0
4210140610_10,0
4500169112_10,0
4500171282_10,0
4500171273_10,0
4500171270_10,0
4500171287_1,0
4500171283_10,0
4300013071_10,0
4300013070_10,0
4300013068_10,0
4300013067_10,0
4220038730_10,0
4220037213_60,0
4500171280_1,0
4500171268_10,0
4500171267_10,0
4500171263_10,0
4210140609_20,0
4210140609_30,0
4210140609_40,0
4210140609_10,0
4210140613_10,0
4500171265_1,0
4500171234_20,0
4500171234_10,0
4500171243_1,0
4300012632_30,0
4210140607_20,0
4300012632_40,0
4500167256_10,0
4210140611_10,0
4210139555_20,0
4500171252_10,0
4210140608_20,0
4210140608_10,0
4500171230_10,0
4500171229_10,0
4500171236_1,0
4500160062_90,0
4500171235_1,0
4500171239_1,0
4210140605_60,0
4210134843_30,0
4210134843_20,0
4210134843_10,0
6000037638_10,0
4500171309_1,0
4500171303_1,0
4500171299_1,0
4500171297_1,0
4400010200_10,0
4300012625_10,0
5500008193_10,0
4500171264_1,0
4500166637_10,0
4300012632_10,0
4210140607_10,0
4500171244_1,0
4210140621_50,0
4500171238_20,0
4500171238_10,0
4220035930_150,0
4300012606_10,0
4220035930_130,0
4500170542_10,0
4500170542_20,0
4300012606_40,0
4300012606_30,0
4500171317_1,0
4300012606_20,0
4500171324_1,0
6000037643_20,0
6000037643_10,0
4220038731_10,0
4500171262_1,0
4220039585_10,0
4500170541_10,0
4500171231_1,0
4210137921_10,0
4210140137_10,0
4500171232_1,0
4500171242_1,0
4500171288_1,0
4300013069_10,0
4220035930_140,0
4500171326_1,0
4500171241_1,0
4500171323_1,0
4210140621_60,0
4210140621_70,0
4210140621_40,0
4210140621_30,0
4210140621_20,0
4210140621_10,0
4500171233_20,0
4500171196_70,0
4500171314_1,0
4500171196_40,0
4500171196_50,0
4500171196_60,0
4500171332_1,0
4500171196_30,0
4500171196_80,0
4500171320_1,0
4500171255_10,0
4500171325_1,0
4500171305_1,0
4210140546_10,0
4500160063_90,0
4500171279_1,0
4500171237_10,0
4500171237_20,0
6000037639_10,0
6000037640_10,0
4500171196_20,0
4500171240_1,0
4500171289_1,0
4500171322_1,0
4500171228_10,0
4500171327_1,0
4500171316_1,0
4000006658_20,0
4000006658_30,0
4210139222_10,0
4000006658_70,0
4000006658_50,0
4000006658_40,0
4210140193_10,0
4500171328_1,0
4400010177_10,0
4500171330_1,0
4210140618_10,0
4400010203_10,0
4400010202_10,0
4400010201_10,0
4000006631_10,0
4210140619_10,0
4500171278_10,0
4400010177_20,0
4210140193_20,0
4500171319_1,0
4210140615_20,0
4210140615_30,0
4500171257_1,0
4500171256_1,0
4500171331_1,0
4210140615_10,0
4210133683_20,0
4210133683_10,0
6000037646_10,0
4500171351_1,0
4500171354_90,0
4500171333_10,0
6000037645_10,0
4500171215_10,0
4210140627_10,0
4210140637_10,0
4500171355_10,0
4500171335_10,0
4210140651_10,0
4500171220_20,0
4500171344_10,0
4500171414_1,0
4210140639_20,0
4500171354_120,0
4500171343_20,0
4500171343_10,0
4500171336_10,0
4210139630_30,0
4210139630_20,0
4210139630_10,0
4210140660_10,0
4500171350_10,0
4210140664_10,0
4500171363_20,0
4210140656_20,0
4210140656_10,0
4210139453_10,0
4500171338_10,0
4500171354_110,0
4500171354_60,0
4500171354_80,0
4210140641_10,0
4210140641_40,0
4300012417_10,0
4210140641_30,0
4210140641_20,0
4210140645_10,0
4500171417_1,0
4210140645_20,0
4210139529_10,0
4210140645_30,0
4500171420_1,0
4210140646_10,0
4500171216_10,0
4500162747_30,0
4500171354_100,0
4500169221_30,0
4210140633_10,0
4500171202_10,0
45005922_10,0
4210140647_10,0
4500171418_1,0
4500171354_10,0
4500171354_20,0
4500169220_30,0
4500171354_30,0
4500171354_40,0
4500169220_40,0
4210140639_10,0
4500171354_50,0
4500171354_70,0
4500169221_40,0
4500171375_20,0
4210140397_70,0
4210140666_10,0
4500171399_1,0
4500171393_1,0
4500171377_1,0
4500171409_1,0
4500171352_1,0
4500171359_10,0
4500171369_1,0
4500171370_1,0
4210140628_10,0
4210140498_10,0
4210140497_10,0
4210140537_10,0
4220039809_10,0
4500171334_10,0
4210140392_30,0
4500171378_1,0
4210140634_10,0
4500171394_1,0
4500171407_1,0
4500171413_1,0
4500171408_1,0
4210140638_10,0
4210140632_10,0
4500171406_1,0
4500171405_1,0
6000037644_20,0
6000037644_10,0
4500171404_1,0
4500171398_1,0
4500171364_10,0
4210138643_10,0
4500171401_1,0
4500171403_1,0
4500171402_1,0
4500171397_1,0
4210140666_30,0
4210140634_20,0
4500171395_1,0
4500171353_20,0
4500171353_10,0
4500171380_1,0
4500171353_70,0
4210140397_40,0
4210140397_50,0
4210140397_60,0
4500171415_1,0
4210140397_30,0
4500171339_10,0
4500170763_40,0
4210140648_10,0
4210140642_10,0
4210140666_20,0
4230002801_20,0
4500171353_30,0
4500171372_1,0
4500171353_60,0
4300013074_10,0
4500171392_1,0
4400010204_10,0
4400010204_20,0
4300012626_10,0
4220039340_10,0
45005932_10,0
4210140665_20,0
4210140665_10,0
4300012719_10,0
4300012788_10,0
4210140653_10,0
4210140655_10,0
4500171337_10,0
4500171353_40,0
4500171353_50,0
4300013073_10,0
4500171200_10,0
4210140656_30,0
4210140559_10,0
4500171371_10,0
4500171345_1,0
4210140640_10,0
4210140643_10,0
4210140629_10,0
4400010206_10,0
4210140629_20,0
4400010206_20,0
4210140414_20,0
4210140636_10,0
4210140654_10,0
4210140659_10,0
4300013072_10,0
4500170160_10,0
4220039807_10,0
4500171365_1,0
4210140630_10,0
4500171419_1,0
4500171379_1,0
4400010205_1,0
4210140650_10,0
4500171381_10,0
4500167360_10,0
4210140663_10,0
4210140636_20,0
4210140662_10,0
4500171259_10,0
4500171375_10,0
4500171346_1,0
4210140649_10,0
4210140658_10,0
4500171373_1,0
4500171416_1,0
4210140636_30,0
4210140414_10,0
4500171366_10,0
4210140661_10,0
4500170617_2550,0
4500170617_2510,0
4500171438_60,0
4500170617_2480,0
4500170617_2410,0
4500170617_2400,0
4500171438_70,0
4500171438_50,0
4500170617_2570,0
4500171438_270,0
4300012789_10,0
4500171438_240,0
4500170617_2680,0
4500170617_2700,0
4500170617_2730,0
4500170617_2740,0
4500170617_2760,0
4400010210_1,0
4500170617_2770,0
4500171438_200,0
4500171438_170,0
4500170617_2790,0
4500170617_50,0
4500171271_10,0
4500170617_2670,0
4500166740_10,0
4300012630_10,0
4210140671_10,0
4500171449_1,0
4500171458_1,0
4500171461_1,0
4500171477_1,0
4500171438_110,0
4500170617_1090,0
4500170617_2080,0
4500170617_990,0
4500170617_2090,0
4500170617_510,0
4500170617_2120,0
4500170617_2840,0
4500170617_2130,0
4500170617_2140,0
4400010211_1,0
4500170617_2850,0
4500170617_2150,0
4210140688_10,0
4500170617_2160,0
4500170617_2220,0
4500170617_2230,0
4500171438_100,0
4220039603_20,0
4500171438_140,0
4500170617_2240,0
4500171438_80,0
4500170617_2250,0
4500170617_2300,0
4500171456_10,0
4500170617_3010,0
4500170617_2860,0
4500170617_1250,0
4500170617_1150,0
4500170617_890,0
4500170617_880,0
4500170617_870,0
4500170617_860,0
4500170617_850,0
4500170617_1320,0
4210140693_10,0
4500170617_820,0
4500171425_190,0
4500171425_210,0
4500171425_130,0
4500171425_120,0
4500171425_90,0
4500170617_810,0
4500170617_840,0
4500170617_800,0
4500170617_1410,0
5500007841_10,0
4500170617_1790,0
4500170617_1780,0
4500170617_1770,0
4500170617_1110,0
4500170617_1100,0
4500170617_1080,0
4500170617_1070,0
4500170617_1500,0
4500171425_200,0
4500170617_1050,0
4500170617_1040,0
4500170617_1030,0
4500170617_1020,0
4500170617_1720,0
4500170617_1640,0
4500170617_1580,0
4500170617_1060,0
4500170617_790,0
4500170514_10,0
4500170617_740,0
4500171438_120,0
4500171425_60,0
4500171438_160,0
4500170617_3080,0
4500170617_3070,0
4500170617_3060,0
4500170617_3040,0
4500171425_70,0
4500170617_3030,0
4500170617_500,0
4500170617_3000,0
4500170617_2990,0
4500170617_2980,0
4500170617_2970,0
4500170617_2940,0
4500170617_2930,0
4500170617_3020,0
4500170617_3090,0
4500170617_3150,0
4500170617_3160,0
4500170617_730,0
4500170617_690,0
4500170617_680,0
4500171425_260,0
4500171425_250,0
4500170617_670,0
4500170617_660,0
4500171425_240,0
4500171425_230,0
4500171425_220,0
4500171425_270,0
4500170617_3370,0
4500170617_3360,0
4500170617_3340,0
4500170617_3310,0
4500170617_3280,0
4500170617_3260,0
4500171445_10,0
4500170617_480,0
4500170617_160,0
4500171438_180,0
4500171438_400,0
4500171438_210,0
4500171438_540,0
6000037647_10,0
4300013079_10,0
4300013078_10,0
4500171438_350,0
4210139506_10,0
4500170617_1170,0
4500170617_3350,0
4220039814_10,0
4500171479_1,0
4500171482_1,0
4500170617_3320,0
4500170617_1300,0
4500171474_1,0
4500171473_1,0
4500170617_1310,0
4500170617_2210,0
4500170617_2200,0
4500170617_2190,0
4500170617_2180,0
4500170617_1660,0
4500170617_1630,0
4500170617_1620,0
4500170617_1520,0
4500170617_1490,0
4500170617_1480,0
4500170617_1470,0
4500170617_1460,0
4500170617_1450,0
4500170617_1380,0
4500170617_1370,0
4500170617_3300,0
4500170617_3050,0
4500170617_2110,0
4500170617_1010,0
4300012997_10,0
4300012997_90,0
4300012997_80,0
4300012997_70,0
4300012997_50,0
4220039763_10,0
4220039763_20,0
4500171484_1,0
4210140675_10,0
4220039791_10,0
4500171457_1,0
4300012997_40,0
4300012997_30,0
4300012997_100,0
4500171485_1,0
4210140667_10,0
4500171438_340,0
4500171478_1,0
4220039456_10,0
4500170617_2640,0
4500170617_2620,0
4500171448_1,0
4500170617_2380,0
4500170617_2370,0
4500170617_2360,0
4500170617_2340,0
4300012531_10,0
4500170617_2830,0
4500170617_2100,0
4500171455_1,0
4300012531_70,0
4300012531_60,0
4300012531_20,0
4500170617_60,0
4210140686_10,0
4500171438_150,0
4500171438_330,0
4500171424_10,0
4500170617_2960,0
4500170617_2950,0
4500170617_2920,0
4500170617_2820,0
4500170617_2070,0
4500170617_2060,0
4500170617_30,0
4500170617_110,0
4500170617_2780,0
4500170617_2750,0
4500170617_2720,0
4500170617_2660,0
4500170617_2650,0
4500171431_10,0
4500170617_100,0
4210139309_10,0
4500171436_10,0
4500171438_220,0
4500171438_190,0
4500170617_390,0
4500170617_380,0
4500170617_370,0
4500170617_360,0
4500170617_330,0
4500170617_200,0
4210140556_10,0
4500170617_190,0
4500170617_1800,0
4500170617_90,0
4500171451_10,0
4500170617_80,0
4500170617_70,0
4500170617_40,0
4500171433_10,0
4500170617_2630,0
4500171438_230,0
4500170617_2600,0
4500170617_2290,0
4500170617_2280,0
4500170617_2270,0
4500170617_2260,0
4500170617_2170,0
4500170617_1140,0
4500170617_920,0
4500170617_830,0
4500170617_3290,0
4500170617_3230,0
4500170617_3190,0
4500170617_3180,0
4500170617_3170,0
4500170617_2610,0
4500170617_2540,0
4500170617_2310,0
4500170617_2530,0
4500171438_310,0
4500170617_2320,0
4500170617_2590,0
4500170617_2580,0
4500170617_2560,0
4500170617_2460,0
4500170617_2450,0
4500170617_2440,0
4500170617_2430,0
4500170617_2420,0
4500170617_2390,0
4500171438_260,0
4500171438_280,0
4500171438_290,0
4500170617_2350,0
4500170617_2330,0
4500171438_300,0
4500171422_1,0
4500170617_1810,0
4500171446_10,0
4500170617_1830,0
4500171423_710,0
4500171423_720,0
4500171423_730,0
4500171423_740,0
4500171423_360,0
4500171423_370,0
4500171423_380,0
4500171423_390,0
4500170617_1000,0
4500171423_400,0
4500171423_410,0
4500171423_420,0
4500171423_430,0
4500171423_460,0
4500171423_470,0
4500171423_700,0
4500171423_480,0
4500171423_690,0
4500171423_670,0
4500171423_300,0
4500171423_310,0
4500171423_320,0
4500171423_330,0
4500171423_340,0
4500171423_350,0
4500171423_440,0
4500171423_450,0
4500171423_570,0
