ID,Purchasing_Document_Number,Item_Number_of_Purchasing_Document,Is_the_order_deleted,Purchasing_Document_Item _Date,Material_Number,Net_Price_in_Purchasing_Document_(in Document Currency),Account_Assignment_Category,Created_On,Flag_Material_for_Deletion_at_Client_Level,Base_Unit_of_Measure,Net_Weight
4210140429_10,4210140429,10,,2023-10-02,7006600,10000,Vendor,2005-12-03,,UN,0.0
4500171064_10,4500171064,10,,2023-10-02,55047504,10000,Partnership,2021-09-29,,KG,20.0
4500171037_1,4500171037,1,,2023-10-02,,119400,Partnership,,,,
4500171022_1,4500171022,1,,2023-10-02,,10000,Partnership,,,,
4500171059_1,4500171059,1,,2023-10-02,,10000,Partnership,,,,
4210140424_10,4210140424,10,,2023-10-02,,10000,Partnership,,,,
4500170003_10,4500170003,10,,2023-10-02,58072465,10000,Vendor,2020-01-13,,L,0.0
4500171040_1,4500171040,1,,2023-10-02,,10000,Partnership,,,,
4500171044_1,4500171044,1,,2023-10-02,,10000,Partnership,,,,
4210140426_10,4210140426,10,,2023-10-02,,278000,Partnership,,,,
45005860_20,45005860,20,,2023-10-02,57974431,68700,Vendor,2022-07-20,,L,0.0
4500164928_30,4500164928,30,,2023-10-02,54000111,10000,Vendor,2022-10-13,,KG,25.0
4500171039_1,4500171039,1,,2023-10-02,,21640,Partnership,,,,
4500171042_1,4500171042,1,,2023-10-02,,10000,Partnership,,,,
4210140257_10,4210140257,10,,2023-10-02,7009504,10000,Vendor,2005-12-03,,UN,0.0
4000006633_10,4000006633,10,,2023-10-02,33315106,10000,Vendor,2020-01-13,,KG,25.0
4300013046_10,4300013046,10,,2023-10-02,9000040,10000,Partnership,2010-10-02,,UN,0.0
4000006607_10,4000006607,10,,2023-10-02,33315106,10000,Vendor,2020-01-13,,KG,25.0
4300013047_10,4300013047,10,,2023-10-02,9000040,10000,Partnership,2010-10-02,,UN,0.0
4500171023_1,4500171023,1,,2023-10-02,,10000,Partnership,,,,
4500164928_10,4500164928,10,,2023-10-02,54000111,10000,Vendor,2022-10-13,,KG,25.0
4500171030_1,4500171030,1,,2023-10-02,,135650,Partnership,,,,
4300013048_10,4300013048,10,,2023-10-02,9000040,10000,Partnership,2010-10-02,,UN,0.0
4500171060_1,4500171060,1,,2023-10-02,,10000,Partnership,,,,
4500171052_1,4500171052,1,,2023-10-02,,10000,Partnership,,,,
4500171046_1,4500171046,1,,2023-10-02,,10000,Partnership,,,,
4500171049_1,4500171049,1,,2023-10-02,,10000,Partnership,,,,
4500171029_1,4500171029,1,,2023-10-02,,10000,Partnership,,,,
4210140416_20,4210140416,20,,2023-10-02,7054381,177250,Vendor,2023-09-28,,UN,0.0
4500171038_1,4500171038,1,,2023-10-02,,10000,Partnership,,,,
4500171058_1,4500171058,1,,2023-10-02,,10000,Partnership,,,,
4210138297_10,4210138297,10,,2023-10-02,,5130,Partnership,,,,
4500171062_10,4500171062,10,,2023-10-02,55056501,10000,Vendor,2020-10-29,,KG,25.0
4210140422_10,4210140422,10,,2023-10-02,,10000,Partnership,,,,
4400010196_10,4400010196,10,,2023-10-02,55050921,10000,Partnership,2021-07-09,,KG,10.0
4500171074_1,4500171074,1,,2023-10-02,,263700,Partnership,,,,
4500171032_1,4500171032,1,,2023-10-02,,10000,Partnership,,,,
4500171036_1,4500171036,1,,2023-10-02,,10000,Partnership,,,,
4500171017_1,4500171017,1,,2023-10-02,,104450,Partnership,,,,
4500170100_10,4500170100,10,,2023-10-02,199002,118100,Vendor,1998-08-31,,KG,10.0
4500171015_1,4500171015,1,,2023-10-02,,10000,Partnership,,,,
4500171054_1,4500171054,1,,2023-10-02,,10000,Partnership,,,,
4500171048_10,4500171048,10,,2023-10-02,55066901,10000,Partnership,2020-10-29,,KG,10.0
4500171053_1,4500171053,1,,2023-10-02,,10000,Partnership,,,,
4210140430_10,4210140430,10,,2023-10-02,,66100,Partnership,,,,
4500171056_1,4500171056,1,,2023-10-02,,10000,Partnership,,,,
4500171057_1,4500171057,1,,2023-10-02,,10000,Partnership,,,,
4500171075_1,4500171075,1,,2023-10-02,,108350,Partnership,,,,
4500171095_1,4500171095,1,,2023-10-03,,10000,Partnership,,,,
4500171088_10,4500171088,10,,2023-10-03,55047504,10000,Partnership,2021-09-29,,KG,20.0
4500171087_20,4500171087,20,,2023-10-03,55056801,10000,Vendor,2021-02-23,,KG,20.0
4220039771_10,4220039771,10,,2023-10-03,,10000,Partnership,,,,
4210140456_10,4210140456,10,,2023-10-03,7005711,10000,Vendor,2005-12-03,,UN,0.0
4500171079_10,4500171079,10,,2023-10-03,55057907,10000,Partnership,2021-02-23,,KG,15.0
4500171100_1,4500171100,1,,2023-10-03,,10000,Partnership,,,,
4210140437_10,4210140437,10,,2023-10-03,,156840,Partnership,,,,
4210140438_10,4210140438,10,,2023-10-03,,10000,Partnership,,,,
4210140474_10,4210140474,10,,2023-10-03,7031171,10000,Vendor,2009-06-11,,UN,0.0
4210138720_10,4210138720,10,,2023-10-03,7029285,10000,Vendor,2008-01-22,,UN,0.0
4210140443_10,4210140443,10,,2023-10-03,,2553000,Partnership,,,,
4220039768_10,4220039768,10,,2023-10-03,,336500,Partnership,,,,
4500171083_10,4500171083,10,,2023-10-03,55064301,10000,Vendor,2021-02-23,,KG,25.0
4210140441_10,4210140441,10,,2023-10-03,,10000,Partnership,,,,
4500171063_10,4500171063,10,,2023-10-03,55066901,10000,Vendor,2020-10-29,,KG,10.0
4500171097_1,4500171097,1,,2023-10-03,,10000,Partnership,,,,
4500171063_20,4500171063,20,,2023-10-03,55066901,10000,Vendor,2020-10-29,,KG,10.0
4500170966_10,4500170966,10,,2023-10-03,55054401,10000,Vendor,2021-02-23,,KG,10.0
4210140437_20,4210140437,20,,2023-10-03,,10000,Partnership,,,,
4210140454_20,4210140454,20,,2023-10-03,,10000,Partnership,,,,
4210140454_10,4210140454,10,,2023-10-03,,10000,Partnership,,,,
4210140372_10,4210140372,10,,2023-10-03,,5130,Partnership,,,,
4500171087_10,4500171087,10,,2023-10-03,55066901,10000,Vendor,2020-10-29,,KG,10.0
4500170966_20,4500170966,20,,2023-10-03,55049721,10000,Vendor,2021-06-10,,KG,20.0
4210140444_10,4210140444,10,,2023-10-03,,10000,Partnership,,,,
4210140458_20,4210140458,20,,2023-10-03,7003065,10000,Vendor,2005-12-03,,UN,0.0
4210140455_10,4210140455,10,,2023-10-03,,10000,Partnership,,,,
4210140458_10,4210140458,10,,2023-10-03,7008882,49460,Vendor,2005-12-03,,UN,0.0
4500171102_1,4500171102,1,,2023-10-03,,10000,Partnership,,,,
4220039776_10,4220039776,10,,2023-10-03,,12812600,Partnership,,,,
4210140051_10,4210140051,10,,2023-10-03,7048390,10000,Vendor,2018-12-18,,L,0.0
4210140373_10,4210140373,10,,2023-10-03,,5130,Partnership,,,,
4210138720_20,4210138720,20,,2023-10-03,7050557,51280,Vendor,2020-10-16,,UN,0.0
4210140465_50,4210140465,50,,2023-10-03,7044426,5000,Vendor,2016-09-21,,M,0.0
4500171103_1,4500171103,1,,2023-10-03,,10000,Partnership,,,,
4220039773_10,4220039773,10,,2023-10-03,,56480,Partnership,,,,
4210140460_80,4210140460,80,,2023-10-03,7044811,10000,Vendor,2017-01-30,,UN,0.0
4400010195_10,4400010195,10,,2023-10-03,55047922,10000,Vendor,2020-09-30,,KG,15.0
4220039774_10,4220039774,10,,2023-10-03,,246800,Partnership,,,,
4220039774_20,4220039774,20,,2023-10-03,,616000,Partnership,,,,
4220039770_10,4220039770,10,,2023-10-03,,126550,Partnership,,,,
4210140453_10,4210140453,10,,2023-10-03,,5130,Partnership,,,,
4220039772_10,4220039772,10,,2023-10-03,,106400,Partnership,,,,
4210140473_10,4210140473,10,,2023-10-03,7040863,10000,Vendor,2014-10-01,,UN,0.0
4210140460_60,4210140460,60,,2023-10-03,7038426,15530,Vendor,2013-04-02,,UN,0.0
4210140473_20,4210140473,20,,2023-10-03,7040867,10000,Vendor,2014-10-01,,UN,0.0
4210140473_40,4210140473,40,,2023-10-03,7040881,10000,Vendor,2014-10-01,,UN,0.0
4210140473_50,4210140473,50,,2023-10-03,7040873,10000,Vendor,2014-10-01,,UN,0.0
4210140473_30,4210140473,30,,2023-10-03,7040868,10000,Vendor,2014-10-01,,UN,0.0
4220039767_10,4220039767,10,,2023-10-03,,37500,Partnership,,,,
4500171078_1,4500171078,1,,2023-10-03,,289700,Partnership,,,,
4500171101_1,4500171101,1,,2023-10-03,,44000,Partnership,,,,
6000037619_10,6000037619,10,,2023-10-03,7020263,5000,Vendor,2007-04-24,,UN,0.0
4500171096_1,4500171096,1,,2023-10-03,,10000,Partnership,,,,
4210140439_10,4210140439,10,,2023-10-03,7046399,10000,Vendor,2018-02-19,,UN,0.0
4220039775_10,4220039775,10,,2023-10-03,,188820,Partnership,,,,
4210140460_70,4210140460,70,,2023-10-03,7002702,10000,Vendor,2005-12-03,,UN,0.0
4210140460_30,4210140460,30,,2023-10-03,7002015,56090,Vendor,2005-12-03,,UN,0.0
4210140465_60,4210140465,60,,2023-10-03,7044425,5000,Vendor,2016-09-21,,M,0.0
4210140465_80,4210140465,80,,2023-10-03,7010798,5000,Vendor,2005-12-03,,M,0.0
4210140465_70,4210140465,70,,2023-10-03,7044460,5000,Vendor,2016-09-22,,UN,0.0
4210140465_90,4210140465,90,,2023-10-03,7044519,5000,Vendor,2016-09-29,,UN,0.0
4210140465_20,4210140465,20,,2023-10-03,7044450,5000,Vendor,2016-09-22,,UN,0.0
4210140466_40,4210140466,40,,2023-10-03,7002330,10000,Vendor,2005-12-03,,M,0.0
4210140466_30,4210140466,30,,2023-10-03,,10000,Partnership,,,,
4220039769_10,4220039769,10,,2023-10-03,,10000,Partnership,,,,
4210140460_10,4210140460,10,,2023-10-03,7010877,53230,Vendor,2005-12-03,,UN,0.0
4220039769_30,4220039769,30,,2023-10-03,,10000,Partnership,,,,
4220039535_20,4220039535,20,,2023-10-03,,433350,Partnership,,,,
4210140463_30,4210140463,30,,2023-10-03,7051048,10000,Vendor,2021-02-01,,UN,0.0
4210140463_20,4210140463,20,,2023-10-03,7051047,10000,Vendor,2021-02-01,,UN,0.0
4210140463_10,4210140463,10,,2023-10-03,7045995,10000,Vendor,2017-11-21,,UN,0.0
4210140471_10,4210140471,10,,2023-10-03,,10000,Partnership,,,,
4210140460_40,4210140460,40,,2023-10-03,7050538,82870,Vendor,2020-10-14,,UN,0.0
4210140460_50,4210140460,50,,2023-10-03,7002662,10000,Vendor,2005-12-03,,UN,0.0
4210140460_20,4210140460,20,,2023-10-03,7002012,15530,Vendor,2005-12-03,,UN,0.0
4220039769_20,4220039769,20,,2023-10-03,,10000,Partnership,,,,
4500171098_1,4500171098,1,,2023-10-03,,10000,Partnership,,,,
4500171094_1,4500171094,1,,2023-10-03,,10000,Partnership,,,,
4210140462_10,4210140462,10,,2023-10-03,7034084,10000,Vendor,2011-03-11,,UN,0.0
4500171093_1,4500171093,1,,2023-10-03,,318040,Partnership,,,,
45005819_10,45005819,10,,2023-10-03,55000001,10000,Vendor,2019-04-19,,KG,20.0
45005819_40,45005819,40,,2023-10-03,55001201,10000,Vendor,2019-04-19,,KG,20.0
45005801_10,45005801,10,,2023-10-03,55001201,10000,Vendor,2019-04-19,,KG,20.0
4500171099_1,4500171099,1,,2023-10-03,,10000,Partnership,,,,
4210140481_10,4210140481,10,,2023-10-03,,418400,Partnership,,,,
4210140465_10,4210140465,10,,2023-10-03,7044420,5000,Vendor,2016-09-21,,M,0.0
4210140478_10,4210140478,10,,2023-10-03,,335200,Partnership,,,,
4210140446_30,4210140446,30,,2023-10-03,7052411,10000,Vendor,2022-02-03,,UN,0.0
4210140446_20,4210140446,20,,2023-10-03,7013099,10000,Vendor,2005-12-03,,UN,0.0
4210140446_10,4210140446,10,,2023-10-03,7013096,10000,Vendor,2005-12-03,,UN,0.0
6000037620_10,6000037620,10,,2023-10-03,7035211,5000,Vendor,2012-01-16,,UN,0.0
4210140457_10,4210140457,10,,2023-10-03,,10000,Partnership,,,,
4500171090_1,4500171090,1,,2023-10-03,,10000,Partnership,,,,
4500161165_10,4500161165,10,,2023-10-03,211905,10000,Vendor,2021-02-09,,L,0.0
45005819_30,45005819,30,,2023-10-03,55000001,10000,Vendor,2019-04-19,,KG,20.0
4210140442_10,4210140442,10,,2023-10-03,7042501,10000,Vendor,2015-09-07,,UN,0.0
45005819_20,45005819,20,,2023-10-03,55000001,10000,Vendor,2019-04-19,,KG,20.0
4210140445_10,4210140445,10,,2023-10-03,7020114,249010,Vendor,2007-04-24,,UN,0.0
4220036836_30,4220036836,30,,2023-10-03,,10000,Partnership,,,,
4210140445_20,4210140445,20,,2023-10-03,7020114,250960,Vendor,2007-04-24,,UN,0.0
4210140467_10,4210140467,10,,2023-10-03,,5130,Partnership,,,,
4210140450_10,4210140450,10,,2023-10-03,,1240000,Partnership,,,,
4210140447_10,4210140447,10,,2023-10-03,,1292000,Partnership,,,,
4210140451_10,4210140451,10,,2023-10-03,,1240000,Partnership,,,,
4210140448_10,4210140448,10,,2023-10-03,,25540,Partnership,,,,
45005893_10,45005893,10,,2023-10-03,57974421,73900,Vendor,2022-07-20,,L,0.0
6000037618_10,6000037618,10,,2023-10-03,7041457,5000,Vendor,2015-01-21,,UN,0.0
4210140452_10,4210140452,10,,2023-10-03,,429840,Partnership,,,,
4210140448_20,4210140448,20,,2023-10-03,,10000,Partnership,,,,
6000037621_10,6000037621,10,,2023-10-04,7027937,5000,Vendor,2007-12-18,,UN,0.0
4400010197_10,4400010197,10,,2023-10-04,58200450,10000,Vendor,2021-09-23,,L,0.0
6000037621_40,6000037621,40,,2023-10-04,7054392,5000,Vendor,2023-10-03,,UN,0.0
4500171092_30,4500171092,30,,2023-10-04,55051311,10000,Vendor,2020-10-29,,KG,10.0
4500171114_1,4500171114,1,,2023-10-04,,10000,Partnership,,,,
4220039668_10,4220039668,10,,2023-10-04,,206500,Partnership,,,,
4500171111_10,4500171111,10,,2023-10-04,55047521,10000,Vendor,2020-10-29,,KG,10.0
6000037629_10,6000037629,10,,2023-10-04,7024844,5000,Vendor,2007-12-18,,UN,0.0
4000006702_40,4000006702,40,,2023-10-04,30060012,10000,Vendor,2018-03-12,,KG,5.0
4210140484_10,4210140484,10,,2023-10-04,,10000,Partnership,,,,
6000037621_70,6000037621,70,,2023-10-04,7027898,5000,Vendor,2007-12-18,,UN,0.0
4000006702_20,4000006702,20,,2023-10-04,30060012,10000,Vendor,2018-03-12,,KG,5.0
4000006702_10,4000006702,10,,2023-10-04,30060012,10000,Vendor,2018-03-12,,KG,5.0
4000006702_30,4000006702,30,,2023-10-04,30060012,10000,Vendor,2018-03-12,,KG,5.0
6000037621_60,6000037621,60,,2023-10-04,7027598,5000,Vendor,2007-12-18,,UN,0.0
4000006702_50,4000006702,50,,2023-10-04,30060012,10000,Vendor,2018-03-12,,KG,5.0
4210135777_330,4210135777,330,,2023-10-04,7027624,10000,Vendor,2007-12-18,,UN,0.0
6000037623_10,6000037623,10,,2023-10-04,7031791,5000,Vendor,2009-10-22,,UN,0.0
6000037623_20,6000037623,20,,2023-10-04,7049169,5000,Vendor,2019-08-27,,UN,0.0
6000037621_50,6000037621,50,,2023-10-04,7027596,5000,Vendor,2007-12-18,,UN,0.0
4220039782_10,4220039782,10,,2023-10-04,,228600,Partnership,,,,
4500171119_1,4500171119,1,,2023-10-04,,700500,Partnership,,,,
4210140496_10,4210140496,10,,2023-10-04,,94700,Partnership,,,,
4210139493_20,4210139493,20,,2023-10-04,7054258,10000,Vendor,2023-08-18,,UN,0.0
4210140490_10,4210140490,10,,2023-10-04,7006242,10000,Vendor,2005-12-03,,UN,0.0
45005927_10,45005927,10,,2023-10-04,52560406,10000,Vendor,2023-02-03,,UN,0.0
4210140487_100,4210140487,100,,2023-10-04,,7600,Partnership,,,,
4210140487_90,4210140487,90,,2023-10-04,,6040,Partnership,,,,
4210140487_80,4210140487,80,,2023-10-04,,9680,Partnership,,,,
4210140487_70,4210140487,70,,2023-10-04,,21250,Partnership,,,,
4500171122_1,4500171122,1,,2023-10-04,,135000,Partnership,,,,
6000037631_10,6000037631,10,,2023-10-04,7026695,5000,Vendor,2007-12-18,,UN,0.0
6000037631_20,6000037631,20,,2023-10-04,7026613,5000,Vendor,2007-12-18,,UN,0.0
4220039777_10,4220039777,10,,2023-10-04,,10000,Partnership,,,,
4210140487_60,4210140487,60,,2023-10-04,,6040,Partnership,,,,
4210140490_30,4210140490,30,,2023-10-04,7043055,10000,Vendor,2016-01-02,,UN,0.0
4210140490_20,4210140490,20,,2023-10-04,7043056,10000,Vendor,2016-01-02,,UN,0.0
6000037628_10,6000037628,10,,2023-10-04,7052239,5000,Vendor,2021-12-14,,UN,0.0
4210140501_10,4210140501,10,,2023-10-04,,1073080,Partnership,,,,
4210140487_50,4210140487,50,,2023-10-04,,9680,Partnership,,,,
6000037631_30,6000037631,30,,2023-10-04,7053226,5000,Vendor,2022-08-24,,UN,0.0
6000037631_40,6000037631,40,,2023-10-04,7023706,5000,Vendor,2007-12-18,,UN,0.0
4210140487_40,4210140487,40,,2023-10-04,,16960,Partnership,,,,
4210140487_10,4210140487,10,,2023-10-04,,12930,Partnership,,,,
4210140501_30,4210140501,30,,2023-10-04,,239000,Partnership,,,,
4210140501_20,4210140501,20,,2023-10-04,,210920,Partnership,,,,
4210140502_10,4210140502,10,,2023-10-04,,223140,Partnership,,,,
4210140485_10,4210140485,10,,2023-10-04,,5130,Partnership,,,,
4000006729_20,4000006729,20,,2023-10-04,56590158,10000,Vendor,2014-10-07,,KG,5.0
4000006729_10,4000006729,10,,2023-10-04,56590158,10000,Vendor,2014-10-07,,KG,5.0
4000006724_20,4000006724,20,,2023-10-04,56610033,10000,Vendor,2013-07-12,,KG,10.0
4210140482_10,4210140482,10,,2023-10-04,,10000,Partnership,,,,
45005923_10,45005923,10,,2023-10-04,51260320,10000,Vendor,2023-02-22,,UN,0.0
4210140482_20,4210140482,20,,2023-10-04,,10000,Partnership,,,,
6000037621_30,6000037621,30,,2023-10-04,7027939,5000,Vendor,2007-12-18,,UN,0.0
4500171108_20,4500171108,20,,2023-10-04,55054401,10000,Vendor,2021-02-23,,KG,10.0
4300013051_10,4300013051,10,,2023-10-04,9000040,10000,Partnership,2010-10-02,,UN,0.0
4300013052_10,4300013052,10,,2023-10-04,9000040,10000,Partnership,2010-10-02,,UN,0.0
4300013053_10,4300013053,10,,2023-10-04,9000040,10000,Partnership,2010-10-02,,UN,0.0
4210140499_10,4210140499,10,,2023-10-04,,5130,Partnership,,,,
4500171118_1,4500171118,1,,2023-10-04,,10000,Partnership,,,,
6000037630_10,6000037630,10,,2023-10-04,7054388,5000,Vendor,2023-09-29,,UN,0.0
4300013049_10,4300013049,10,,2023-10-04,9000040,10000,Partnership,2010-10-02,,UN,0.0
4210140492_10,4210140492,10,,2023-10-04,7012720,10000,Vendor,2005-12-03,,UN,0.0
4210139581_30,4210139581,30,,2023-10-04,,5130,Partnership,,,,
4210139581_20,4210139581,20,,2023-10-04,,5130,Partnership,,,,
4210139581_10,4210139581,10,,2023-10-04,,5130,Partnership,,,,
4210140488_10,4210140488,10,,2023-10-04,,40100,Partnership,,,,
4210140500_10,4210140500,10,,2023-10-04,,10000,Partnership,,,,
4220039779_10,4220039779,10,,2023-10-04,,186350,Partnership,,,,
6000037622_10,6000037622,10,,2023-10-04,7053242,5000,Vendor,2022-08-31,,UN,0.0
4500171121_1,4500171121,1,,2023-10-04,,10000,Partnership,,,,
4210140483_10,4210140483,10,,2023-10-04,7048524,10000,Vendor,2019-02-04,,UN,0.0
4210140487_20,4210140487,20,,2023-10-04,,9680,Partnership,,,,
4210140428_10,4210140428,10,,2023-10-04,7037107,81050,Vendor,2012-09-13,,UN,0.0
4210140487_30,4210140487,30,,2023-10-04,,5780,Partnership,,,,
4210140487_110,4210140487,110,,2023-10-04,,7600,Partnership,,,,
4500171120_1,4500171120,1,,2023-10-04,,10000,Partnership,,,,
4500171113_1,4500171113,1,,2023-10-04,,156580,Partnership,,,,
6000037624_10,6000037624,10,,2023-10-04,7030541,5000,Vendor,2009-01-12,,UN,0.0
6000037626_10,6000037626,10,,2023-10-04,7054297,5000,Vendor,2023-08-30,,UN,0.0
4220039783_10,4220039783,10,,2023-10-04,,343000,Partnership,,,,
4500171108_10,4500171108,10,,2023-10-04,55050111,10000,Vendor,2020-10-29,,KG,5.0
4500171092_10,4500171092,10,,2023-10-04,55049611,10000,Vendor,2020-10-29,,KG,20.0
4210140486_10,4210140486,10,,2023-10-04,,10000,Partnership,,,,
6000037621_20,6000037621,20,,2023-10-04,7027938,5000,Vendor,2007-12-18,,UN,0.0
4000006716_50,4000006716,50,,2023-10-04,56590158,10000,Vendor,2014-10-07,,KG,5.0
4210139493_60,4210139493,60,,2023-10-04,7054261,10000,Vendor,2023-08-21,,UN,0.0
4500171109_10,4500171109,10,,2023-10-04,55069901,10000,Partnership,2022-02-11,,L,0.0
4210139493_110,4210139493,110,,2023-10-04,7054266,10000,Vendor,2023-08-21,,UN,0.0
4210139493_90,4210139493,90,,2023-10-04,7054264,10000,Vendor,2023-08-21,,UN,0.0
4210139493_80,4210139493,80,,2023-10-04,7054263,10000,Vendor,2023-08-21,,UN,0.0
4210139493_70,4210139493,70,,2023-10-04,7054262,10000,Vendor,2023-08-21,,UN,0.0
4210139493_100,4210139493,100,,2023-10-04,7054265,10000,Vendor,2023-08-21,,UN,0.0
4210139493_30,4210139493,30,,2023-10-04,7054205,98730,Vendor,2023-08-09,,UN,0.0
4210140264_10,4210140264,10,,2023-10-04,7051703,133180,Vendor,2021-07-07,,UN,0.0
4210140491_10,4210140491,10,,2023-10-04,,89500,Partnership,,,,
6000037627_10,6000037627,10,,2023-10-04,7053142,5000,Vendor,2022-08-02,,UN,0.0
4500171092_20,4500171092,20,,2023-10-04,55059411,10000,Vendor,2021-04-23,,KG,10.0
4000006716_60,4000006716,60,,2023-10-04,56590158,10000,Vendor,2014-10-07,,KG,5.0
4500171107_10,4500171107,10,,2023-10-04,55066801,10000,Vendor,2021-02-23,,KG,15.0
4500171116_10,4500171116,10,,2023-10-04,55069307,10000,Vendor,2021-02-23,,KG,15.0
4220039780_20,4220039780,20,,2023-10-04,,669170,Partnership,,,,
4500171110_10,4500171110,10,,2023-10-04,55069901,10000,Partnership,2022-02-11,,L,0.0
6000037625_10,6000037625,10,,2023-10-04,7045631,5000,Vendor,2017-09-13,,UN,0.0
4500171115_1,4500171115,1,,2023-10-04,,10000,Partnership,,,,
4210139493_40,4210139493,40,,2023-10-04,7054259,91060,Vendor,2023-08-21,,UN,0.0
4000006716_20,4000006716,20,,2023-10-04,56590158,10000,Vendor,2014-10-07,,KG,5.0
